,index,latitude,longitude,counts,cluster
838,838,-23.6007074,-46.6513995,4,36
123,123,-23.5992238,-46.6572894,1,36
1129,1129,-23.6021187,-46.65097280000001,8,36
543,543,-23.6010771,-46.6540711,2,36
136,136,-23.6008582,-46.6535395,1,36
648,648,-23.6001593,-46.6588857,3,36
1029,1029,-23.5222478,-46.62624870000001,7,37
1224,1224,-23.5231852,-46.6285706,12,37
118,118,-23.5213463,-46.6300105,1,37
97,97,-23.5177018,-46.63060820000001,1,37
6,6,-23.5259521,-46.62560070000001,1,37
1420,1420,-23.5287445,-46.6244208,84,37
1419,1419,-23.5193621,-46.6251826,84,37
742,742,-23.52473710000001,-46.6290155,3,37
1126,1126,-23.5202244,-46.6239675,8,37
1045,1045,-23.518459,-46.62415499999999,7,37
714,714,-23.5269121,-46.6257873,3,37
1293,1293,-23.5254597,-46.6253176,19,37
1279,1279,-23.5291759,-46.6253343,16,37
52,52,-23.5273809,-46.62558,1,37
1206,1206,-23.5235398,-46.63048679999999,11,37
894,894,-23.51993,-46.63014,5,37
373,373,-23.526435100000004,-46.6253597,2,37
395,395,-23.52674660000001,-46.6297331,2,37
371,371,-23.5238896,-46.6303538,2,37
975,975,-23.5258611,-46.6294411,6,37
790,790,-23.5146301,-46.63048010000001,4,37
1070,1070,-23.5270313,-46.6258718,7,37
1265,1265,-23.524779100000003,-46.63076760000001,15,37
1399,1399,-23.5273812,-46.6256213,47,37
1387,1387,-23.5271632,-46.6247283,36,37
1049,1049,-23.518306,-46.62778400000001,7,37
1121,1121,-23.5228991,-46.63029849999999,8,37
1247,1247,-23.5235252,-46.6301655,13,37
1198,1198,-23.5195548,-46.6298885,11,37
883,883,-23.5231466,-46.625245,5,37
1223,1223,-23.5225865,-46.6302477,12,37
280,280,-23.5183856,-46.6300867,2,37
1413,1413,-23.5222918,-46.6279181,70,37
59,59,-23.5281519,-46.6248997,1,37
394,394,-23.5240737,-46.62877599999999,2,37
267,267,-23.5200674,-46.62154500000001,2,37
734,734,-23.5265774,-46.62512950000001,3,37
413,413,-23.61762,-46.66168620000001,2,38
733,733,-23.618208,-46.6605675,3,38
1031,1031,-23.6175205,-46.6617383,7,38
24,24,-23.6118412,-46.65641859999999,1,38
415,415,-23.6181414,-46.6600584,2,38
509,509,-23.4592525,-46.67454650000001,2,39
1081,1081,-23.4535352,-46.6719109,7,39
1354,1354,-23.5571917,-46.6285664,27,40
380,380,-23.5586635,-46.6293628,2,40
1163,1163,-23.5562328,-46.62844570000001,10,40
376,376,-23.5580037,-46.6289532,2,40
1329,1329,-23.5568285,-46.6296005,24,40
1220,1220,-23.5560709,-46.6291905,12,40
377,377,-23.558188,-46.6288888,2,40
384,384,-23.5592539,-46.630871000000006,2,40
845,845,-23.5631111,-46.6303958,4,40
1132,1132,-23.5594941,-46.6310821,8,40
1147,1147,-23.5564714,-46.6308708,9,40
721,721,-23.5540003,-46.6281125,3,40
1366,1366,-23.5560658,-46.6285122,30,40
830,830,-23.5529706,-46.627598600000006,4,40
1187,1187,-23.5096266,-46.68056170000001,10,41
459,459,-23.5017249,-46.68416129999999,2,41
743,743,-23.506857,-46.6773401,3,41
487,487,-23.5043801,-46.6862746,2,41
1134,1134,-23.5073715,-46.68017649999999,8,41
66,66,-23.50318110000001,-46.6847494,1,41
731,731,-23.500216,-46.684101,3,41
458,458,-23.5018224,-46.68683460000001,2,41
452,452,-23.5034437,-46.6845502,2,41
55,55,-23.5035404,-46.6846004,1,41
4,4,-23.5059642,-46.67588079999999,1,41
720,720,-23.5034198,-46.6845614,3,41
1191,1191,-23.5038338,-46.6854665,11,41
959,959,-23.5046955,-46.6804069,6,41
453,453,-23.5027829,-46.6844431,2,41
53,53,-23.5038223,-46.68456610000001,1,41
949,949,-23.5057052,-46.6805071,6,41
60,60,-23.5030347,-46.6845518,1,41
1425,1425,-23.5039206,-46.6846383,106,41
1068,1068,-23.5043045,-46.6880606,7,41
1127,1127,-23.5074281,-46.6829172,8,41
1012,1012,-23.5090599,-46.6803603,6,41
1097,1097,-23.504108,-46.6822928,7,41
1055,1055,-23.5041268,-46.6826885,7,41
456,456,-23.5021507,-46.6860931,2,41
1369,1369,-23.5034713,-46.6847675,30,41
783,783,-23.5038989,-46.6847107,4,41
485,485,-23.5050052,-46.680571,2,41
1057,1057,-23.63972080000001,-46.72154159999999,7,42
39,39,-23.6415722,-46.715951200000006,1,42
102,102,-23.6447734,-46.7175488,1,42
1311,1311,-23.6415424,-46.7241725,21,42
1170,1170,-23.63887080000001,-46.7219722,10,42
899,899,-23.6399093,-46.72113119999999,5,42
1144,1144,-23.6392794,-46.7220451,9,42
802,802,-23.6300287,-46.7135656,4,43
1372,1372,-23.63051560000001,-46.7141346,32,43
465,465,-23.6324079,-46.715661,2,43
726,726,-23.6318945,-46.7151843,3,43
45,45,-23.636381,-46.7152266,1,43
1258,1258,-23.632409,-46.7156621,14,43
94,94,-23.58753380000001,-46.7230018,1,44
1204,1204,-23.5851539,-46.7226826,11,44
1106,1106,-23.5877806,-46.72289929999999,8,44
866,866,-23.5801065,-46.720886,5,44
1157,1157,-23.545822,-46.7137542,9,45
1086,1086,-23.5457827,-46.720578,7,45
1153,1153,-23.5462912,-46.71317639999999,9,45
108,108,-23.5706163,-46.6909158,1,46
365,365,-23.5709718,-46.69096939999999,2,46
113,113,-23.57107,-46.69101,1,46
360,360,-23.5692895,-46.68757120000001,2,46
352,352,-23.5662554,-46.684336,2,46
68,68,-23.5686275,-46.68570820000001,1,46
847,847,-23.5717322,-46.70847879999999,4,47
1222,1222,-23.573615300000004,-46.7100261,12,47
893,893,-23.5739871,-46.7102879,5,47
704,704,-23.5703194,-46.711623,3,47
1359,1359,-23.5714495,-46.7077558,28,47
711,711,-23.5657324,-46.71179799999999,3,47
229,229,-23.5720868,-46.7128951,2,47
1406,1406,-23.5710017,-46.709162,57,47
1306,1306,-23.6000888,-46.7200902,21,48
541,541,-23.601201,-46.7185399,2,48
1341,1341,-23.5939636,-46.72115150000001,25,48
849,849,-23.6042148,-46.7190064,4,48
652,652,-23.6019988,-46.7185669,3,48
1028,1028,-23.6010331,-46.71854879999999,7,48
646,646,-23.5982038,-46.7197589,3,48
1281,1281,-23.5471214,-46.5413325,16,49
41,41,-23.5504512,-46.5354164,1,49
565,565,-23.6972571,-46.6734805,3,50
613,613,-23.6928288,-46.6772609,3,50
617,617,-23.690509,-46.675111,3,50
1071,1071,-23.5349037,-46.6545554,7,51
776,776,-23.5343594,-46.6641583,4,51
1333,1333,-23.5340888,-46.65535089999999,24,51
216,216,-23.531962600000004,-46.6598735,1,51
382,382,-23.5360384,-46.6519105,2,51
620,620,-23.5321259,-46.6602978,3,51
605,605,-23.5376794,-46.64872769999999,3,51
1138,1138,-23.53602780000001,-46.65162180000001,9,51
1269,1269,-23.5350703,-46.65309440000001,15,51
1414,1414,-23.534573,-46.65481519999999,72,51
149,149,-23.5356124,-46.65840009999999,1,51
1076,1076,-23.5360774,-46.6516595,7,51
1234,1234,-23.5332233,-46.65677669999999,12,51
1105,1105,-23.5346733,-46.6546931,8,51
205,205,-23.5326565,-46.65776289999999,1,51
160,160,-23.5378736,-46.6490359,1,51
946,946,-23.5353852,-46.6511929,5,51
366,366,-23.5370378,-46.6498892,2,51
152,152,-23.5353266,-46.6538783,1,51
556,556,-23.5384697,-46.6500228,3,51
1003,1003,-23.6110611,-46.75298520000001,6,52
1052,1052,-23.6115932,-46.7542352,7,52
13,13,-23.6180602,-46.7514001,1,52
705,705,-23.6112691,-46.7533042,3,52
1271,1271,-23.6108848,-46.752876,15,52
27,27,-23.61115280000001,-46.75300429999999,1,52
1216,1216,-23.6181834,-46.61112979999999,12,53
29,29,-23.6109081,-46.60675620000001,1,53
907,907,-23.612155800000004,-46.6074721,5,53
407,407,-23.6139787,-46.6083995,2,53
569,569,-23.6455992,-46.7102195,3,54
1308,1308,-23.6522351,-46.7126679,21,54
208,208,-23.6457685,-46.7120833,1,54
588,588,-23.64558460000001,-46.71028670000001,3,54
203,203,-23.6460115,-46.71018839999999,1,54
1110,1110,-23.5927108,-46.6209509,8,55
1230,1230,-23.5904137,-46.62013889999999,12,55
79,79,-23.5913425,-46.620676,1,55
81,81,-23.5910277,-46.6208019,1,55
550,550,-23.5973979,-46.6173858,2,55
967,967,-23.56141400000001,-46.6558819,6,56
1184,1184,-23.5617929,-46.6580219,10,56
31,31,-23.562252,-46.6560876,1,56
370,370,-23.5646455,-46.6546818,2,56
387,387,-23.5612461,-46.65778770000001,2,56
855,855,-23.5599017,-46.6601825,4,56
948,948,-23.5564561,-46.6619089,6,56
1093,1093,-23.56309610000001,-46.6562869,7,56
1160,1160,-23.508852800000003,-46.6159755,9,57
653,653,-23.5116035,-46.6105105,3,57
784,784,-23.5115481,-46.6100596,4,57
401,401,-23.5080754,-46.6125401,2,57
430,430,-23.511353,-46.6102873,2,57
1207,1207,-23.5085103,-46.6158205,11,57
1007,1007,-23.5089951,-46.6111036,6,57
1332,1332,-23.5115239,-46.6100423,24,57
1379,1379,-23.5103974,-46.609054,33,57
508,508,-23.514005800000003,-46.6108903,2,57
1336,1336,-23.5124847,-46.61119710000001,25,57
546,546,-23.5118579,-46.6105641,2,57
1201,1201,-23.5099812,-46.6182466,11,57
549,549,-23.5130799,-46.6103914,2,57
812,812,-23.6655587,-46.7270189,4,58
1325,1325,-23.6674064,-46.72525870000001,24,58
1267,1267,-23.6671555,-46.72727889999999,15,58
912,912,-23.6659471,-46.72715909999999,5,58
156,156,-23.6653914,-46.718691,1,58
423,423,-23.6659612,-46.7229202,2,58
497,497,-23.6666865,-46.7225258,2,58
1340,1340,-23.6638325,-46.7291745,25,58
202,202,-23.667774,-46.7304673,1,58
