,longitude,latitude,dist_flood,dist_flood_lim
134,-46.5777714,-23.55202430000001,433.6647,433.6647
135,-46.6129659,-23.5406399,570.4546,570.4546
136,-46.7200543,-23.4016619,0.0,90.0
137,-46.477838,-23.507044,0.0,90.0
138,-46.6507714,-23.6786374,0.0,90.0
139,-46.75499019999999,-23.6347959,0.0,90.0
140,-46.4324282,-23.5263017,529.5348,529.5348
141,-46.4912986,-23.6098686,0.0,90.0
142,-46.6117037,-23.5637309,659.9842,659.9842
143,-46.4476203,-23.5296296,504.6964,504.6964
144,-46.60979920000001,-23.4826367,265.9807,265.9807
145,-46.5945746,-23.4672805,0.0,90.0
146,-46.57657929999999,-23.59838,0.0,90.0
147,-46.5941446,-23.4315287,0.0,90.0
148,-46.7398797,-23.5714865,473.1323,473.1323
149,-46.67451629999999,-23.5188743,714.9247,714.9247
150,-46.4439807,-23.5143458,0.0,90.0
151,-46.7270925,-23.8282027,0.0,90.0
152,-46.59762429999999,-23.5281634,551.2455,551.2455
153,-46.54323770000001,-23.6057845,0.0,90.0
154,-46.7727005,-23.6669625,136.7777,136.7777
155,-46.68776829999999,-23.5613055,620.9517,620.9517
156,-46.528045,-23.5000172,0.0,90.0
157,-46.75289160000001,-23.6489312,493.0771,493.0771
158,-46.6737449,-23.5448219,0.0,90.0
159,-46.57143920000001,-23.4726383,39.9316,90.0
160,-46.6947123,-23.7360009,0.0,90.0
161,-46.6613718,-23.4953168,0.0,90.0
162,-46.619269,-23.627706,391.8852,391.8852
163,-46.7377449,-23.5553807,544.2804,544.2804
164,-46.437798,-23.5989085,0.0,90.0
165,-46.50811760000001,-23.4908015,0.0,90.0
166,-46.3769404,-23.50584760000001,0.0,90.0
167,-46.67088620000001,-23.6507545,0.0,90.0
168,-46.5780901,-23.5139769,0.0,90.0
169,-46.7958352,-23.7345288,31.7485,90.0
170,-46.67607839999999,-23.75503,70.5928,90.0
171,-46.44646059999999,-23.5565094,0.0,90.0
172,-46.41282289999999,-23.5418577,673.3865,673.3865
173,-46.37787720000001,-23.4847753,0.0,90.0
174,-46.7214961,-23.4602278,0.0,90.0
175,-46.7174347,-23.7685129,231.5384,231.5384
176,-46.6702276,-23.4737451,349.7404,349.7404
177,-46.4152394,-23.5817161,0.0,90.0
178,-46.7476843,-23.5198208,167.4737,167.4737
179,-46.5690836,-23.5588189,0.0,90.0
180,-46.6381862,-23.6810197,0.0,90.0
181,-46.74770529999999,-23.5078804,575.7608,575.7608
182,-46.40727829999999,-23.5501211,0.0,90.0
183,-46.7179847,-23.5073485,466.9223,466.9223
184,-46.7099695,-23.6075597,355.8857,355.8857
185,-46.5757735,-23.5268029,160.8957,160.8957
186,-46.6564988,-23.6380267,0.0,90.0
187,-46.5420451,-23.5062097,324.0912,324.0912
188,-46.4567463,-23.5058508,66.2041,90.0
189,-46.4739201,-23.53092980000001,0.0,90.0
190,-46.6565842,-23.6273246,0.0,90.0
191,-46.78113,-23.6413262,0.0,90.0
192,-46.6989804,-23.6755773,385.2668,385.2668
193,-46.7559164,-23.6988927,0.0,90.0
194,-46.610063,-23.5945527,505.2042,505.2042
195,-46.7002144,-23.6444211,212.3773,212.3773
196,-46.7645809,-23.62467980000001,455.8115,455.8115
197,-46.59863170000001,-23.568506,0.0,90.0
198,-46.69083240000001,-23.52393,433.1077,433.1077
199,-46.6154467,-23.457949,0.0,90.0
200,-46.44294,-23.6087562,0.0,90.0
201,-46.7248231,-23.4990817,0.0,90.0
202,-46.7621255,-23.40614960000001,244.2802,244.2802
203,-46.70803950000001,-23.7141272,280.4712,280.4712
204,-46.6079143,-23.5747064,451.933,451.933
205,-46.67060120000001,-23.5072503,405.8685,405.8685
206,-46.53032049999999,-23.5148306,146.138,146.138
207,-46.72287070000001,-23.6522565,544.8049,544.8049
208,-46.71481139999999,-23.6898831,201.8524,201.8524
209,-46.64058170000001,-23.5388648,747.6854,747.6854
210,-46.71203920000001,-23.6691958,685.041,685.041
211,-46.59758400000001,-23.6105957,0.0,90.0
212,-46.6626584,-23.4532979,0.0,90.0
213,-46.6213303,-23.4785124,0.0,90.0
